"address","age","liquidityUsd","makerCount","marketCapUsd","priceChange1h","priceChange24h","priceChange5m","priceChange6h","priceUsd","tokenName","tokenSymbol","transactionCount","volumeUsd"
"37gewa27k9churtwbxkmfdfjc65givyraqggeintyasx","24","82000","3474","289000","-0.18600000000000003","-0.37729999999999997","0.030699999999999998","-0.4069","0.0002895","boop dog","#25
CPMM
boopdog
/
SOL
boop dog","13431","3200000"
"6wwcmirjfpdndfmtgvq8ey1zxmzlkglryuutry4izmye","192","524000","3317","6500000","-0.045599999999999995","0.4219","-0.0053","-0.0501","0.00652","trencher","#26
TRENCHER
/
SOL
trencher
10","18458","3700000"
"94xkmzmqxtcag6bthqicdu1zwtf1ebkwlugg2wjzesqk","24","63000","3992","204000","-0.0037","-0.7097","-0.0086","0.0669","0.0002045","horni coin","#27
horni
/
SOL
horni coin","17764","2400000"
"3rqt2jpa6ksrj7wuhp1imoyoybbxgyxlrydqfkv7cs6t","24","107000","3784","975000","-0.1278","4.65","-0.0039000000000000003","-0.2403","0.0009758","Toshi","#28
CPMM
Toshi
/
SOL
Toshi
30","15203","3000000"
"as5dsvp9glyg1udyjkjoiqcdav1ytmvx6eqt7cygngo1","21","64000","3612","336000","-0.1313","4.34","-0.0387","-0.17850000000000002","0.000336","Shiloh Hendricks","#29
Shiloh
/
SOL
Shiloh Hendricks","21316","2400000"
"4qqm2x2pfhu3toscaqkqxtfhtm7dmje8lgwu9kvqenh4","720","1500000","2800","19900000","-0.0143","0.16329999999999997","0.0055000000000000005","-0.0602","0.02065","titcoin","#30
titcoin
/
SOL
titcoin","12787","3800000"
"93tjgwff5ac5thymi8c4wejvvqq4tumemuyw1leyz7bu","3600","2500000","1681","51100000","-0.0227","0.20129999999999998","-0.0072","-0.0415","0.0511","Just a chill guy","#31
CHILLGUY
/
SOL
Just a chill guy","15989","6800000"
"ea4xjkrkyy1xmq9a63p4fs5bvgqpzjudrss8x1rnaegx","72","85000","3332","318000","-0.1348","-0.4996","-0.035699999999999996","-0.4211","0.0003187","the real goal","#32
land
/
SOL
the real goal
10","15264","1900000"
"diweoxgud7qwsfcre6rhdba2dljfaesf9x5nba6wocyj","11","45000","4812","207000","0.1155","3","-0.0501","-0.6715000000000001","0.0002073","cultcore","#33
CPMM
cultcore
/
SOL
cultcore","19607","3400000"
"bzc9nzfmqkxr6fz1dbph7bdf9broyef6pnzesp7v5iiw","4320","22800000","524","1160000000","-0.012199999999999999","-0.008","-0.0002","-0.0391","1.16","Fartcoin","#34
Fartcoin
/
SOL
Fartcoin","6586","3500000"
"emfejwgxde3ujkjedren4cz2ckruey1ahcnfb6oezywc","12","52000","3738","272000","-0.33640000000000003","3.73","0.0038","-0.7646","0.0002724","dooq","#35
CPMM
dooq
/
SOL
dooq
10","14549","2700000"
"4blcvqxulia8cfkemkpxx31icoty9kbu7bwyynfcmssv","672","1200000","2629","22600000","0.0383","0.49229999999999996","0.004699999999999999","-0.0377","0.0226","Dark Eclipse","#37
DARK
/
SOL
Dark Eclipse","28204","7600000"
"6e7rdq7y6pbjfbwaentbejl9fxyyznpct97kxj8rpazd","11","43000","5895","138000","-0.08960000000000001","1.24","0.0934","1.97","0.0001389","dogwif2hats","#36
wif2
/
SOL
dogwif2hats
10","34721","3200000"
"2bac5jl75noser2oljz14gbnjwduuq3ui33zplztgcea","720","484000","2244","5300000","0.1907","0.3131","-0.0458","0.4522","0.00535","Italian Brainrot","#38
Italianrot
/
SOL
Italian Brainrot","8292","1900000"
"62xuy3x5qefze36tbvnaod8wdf7mt6cjmjnvknezqpkv","24","5100000","5797","295500000","0.1349","0.1243","0.0215","-0.1355","0.2955","BOOP","#39
WP
BOOP
/
USDC
BOOP","22478","18800000"
"py2zc6gpfcyqaejpepw1mpupvgdfuam6ivzjbqwgfra","96","165000","2582","883000","-0.08289999999999999","-0.3998","0.0034999999999999996","-0.09519999999999999","0.0008835","Dog Stolen From Tesla","#40
Lemon
/
SOL
Dog Stolen From Tesla","11523","2000000"
"hv1i8wrxehl8djbuxhfgjxxtt4qeupywwkfsggb5a7w6","168","311000","2493","2100000","0.06559999999999999","-0.0434","-0.052000000000000005","0.1547","0.03073","Let's BONK","#41
LetsBONK
/
SOL
Let's BONK
20","12508","1600000"
"6waphd7quzw6yytppnxxzlh5yshemwpem7y5ruetcopd","10","24000","6775","45000","0.18739999999999998","-0.26890000000000003","-0.027999999999999997","-0.6154999999999999","0.044526","Frank The Cat","#42
Frank
/
SOL
Frank The Cat
10","37368","3500000"
"eyg7yuoopdeyhxg9mla5mtnhdqwbd6jx4ozssehpx23m","7","33000","9045","73000","-0.2104","0.18530000000000002","0.009899999999999999","-0.5083","0.047377","Kobushi","#43
Kobushi
/
SOL
Kobushi
50","55432","5800000"
"cipx7t2mxf9wlxmg1r7kbkrqqxmm5sow5sdoc1wjhgzz","24","55000","2186","165000","0.038599999999999995","-0.0274","-0.0006","-0.1573","0.0001653","rahil","#44
CPMM
rahil
/
SOL
rahil","7470","1300000"
"djqfax2mxdifatmuq48h9gtlnmq6k98pf9cq63s8hpm1","21","28000","5818","59000","0.18469999999999998","-0.0259","-0.037200000000000004","-0.1948","0.045987","Trenchpedia","#45
trwiki
/
SOL
Trenchpedia
10","40768","3500000"
"585zshmuwrj6qx4sh8owwz8a4k38aqnbnupya1wxltse","528","266000","12631","5100000","0.0109","0.2293","0.0034000000000000002","0.1375","0.005107","TASS HUB","#46
TASSHUB
/
SOL
TASS HUB","25842","734000"
"58fzjmbx5patnfjpqwwsqkvfprkptkbb5r2vcw4qq3z9","2160","3400000","1274","49500000","0.0128","0.1565","0.0089","-0.0862","0.04959","Vine Coin","#47
VINE
/
SOL
Vine Coin","12142","4800000"
"ck6amteon4xcrcnbuu8p5gtcr6lam2tfaapcsqtwldyu","24","30000","10968","82000","-0.1297","0.8395999999999999","0.0051","-0.12890000000000001","0.04826","POPDENG","#48
POPDENG
/
SOL
POPDENG
30","22577","446000"
"3vkgwk6pnqes2tdfwxumpgbo8gpymtvz4r3mxxkagkhn","24","91000","2170","192000","0.0076","-0.5962","-0.039599999999999996","-0.1216","0.0001927","Beep","#49
CPMM
BEEP
/
SOL
Beep","6323","1100000"
"gdpdqqvbqzbsuel97bw9ebtctvkygjh72tzid896xuhg","24","121000","1410","1100000","0.0747","-0.2241","0.0707","-0.0209","0.001124","Tapestry AI","#50
CPMM
TAPS
/
SOL
Tapestry AI
100","4484","1200000"
"7whfybw7eggamu97rszynrwaprjsbwauyx9apxpa9zml","8","21000","5201","33000","-0.675","-0.4611","-0.22390000000000002","-0.8628","0.043387","Carl Johnson","#51
CJ
/
SOL
Carl Johnson
10","28467","2500000"
"d6rgz1jg2syjstxgasaz39clffwl4tfabeaanjhgrrzc","720","1200000","2010","18600000","-0.0336","0.4924","-0.0006","-0.11109999999999999","0.01937","Retard Finder Coin","#52
RFC
/
SOL
Retard Finder Coin","21977","4900000"
"3a6p2mqwnzmf2isgbhiucfhwi4pwzpuvru321a9p6a5u","8","44000","2859","199000","0.015700000000000002","2.41","0.0975","-0.4462","0.000199","Beepa","#53
CPMM
BEEPA
/
SOL
Beepa","10183","1200000"
"cgywemkwj4ol1p5cnqjkae5gghm36ueq1nh7qpgtk8qh","19","29000","6377","59000","0.5065","-0.055099999999999996","0.0017000000000000001","0.19649999999999998","0.045927","Hikikomori","#54
HIKI
/
SOL
Hikikomori","40870","4000000"
"hpvpmh2h4wybk2uwtw7cig9gp4b5wr4hyclvwpmjcys7","22","22000","4895","39000","-0.12960000000000002","-0.36719999999999997","-0.0626","-0.4936","0.043944","Fart House","#55
FARTHOUSE
/
SOL
Fart House","29688","2300000"
"7offdxsklazhfbzz1mmbmzuybvgqmvjmsijgb8hjcwp","552","382000","1740","3200000","0.0281","0.1551","-0.0015","-0.0187","0.003258","Wizard Gang","#56
Wizard
/
SOL
Wizard Gang","11129","2200000"
"2vh4287isy87ozxdt9lps8vnrzzawej47wir71a9tx4p","72","317000","1308","2900000","0.1384","2.82","0.06280000000000001","0.2613","0.002971","Dupe","#57
DYN
DUPE
/
SOL
Dupe","4363","1500000"
"bourcfkdgsr55xavzdeu6tci7twrticgrvclioennbbx","2160","556000","34034","11000000","0.0409","0.1641","0.0028000000000000004","0.0254","0.01107","BOTIFY","#58
BOTIFY
/
SOL
BOTIFY","35693","502000"
"arvp7mmrk823buaiezzyxhwhcw5bbypraa1hhjymfvkl","5","37000","3266","139000","-0.0334","1.26","-0.0883","1.26","0.0001392","BOOPIT","#59
CPMM
BOOPIT
/
SOL
BOOPIT
10","12463","2100000"
"cwtdbhxmpgg8bimdgdiheteywr4hdkawrtipv7w1udk3","216","380000","1517","6400000","-0.019","0.4072","0.0022","-0.12369999999999999","0.006488","JuliaOS","#60
JOS
/
SOL
JuliaOS","5089","1500000"
"c4kjug3vwmz8oydqd4dnklcq7kqzqg63r9xqqpk4mmse","24","25000","3555","35000","-0.2969","-0.8519","0.0072","-0.4901","0.043513","Pump fun vs everyone","#61
PVE
/
SOL
Pump fun vs everyone","12941","1300000"
"frhb8l7y9qq41qzxyltc2nw8an1rjfllxrf2x9rwllmo",,"11000000","1105","394400000","0.0154","0.069","0.0012","0.04650000000000001","0.4025","Popcat","#62
POPCAT
/
SOL
Popcat","11526","2800000"
"falczo9gyfxyuc3obryzkpsxxpiyznva8xut1mof49p8","3","44000","3267","172000","0.3102","1.79","0.0072","1.79","0.0001727","MAO","#63
MAO
/
SOL
MAO
550","7753","1000000"
